A,Starter,gameid
Tim Krul,-1,541844
Ben Godfrey,-1,541844
Grant Hanley,-1,541844
Jamal Lewis,-1,541844
Max Aarons,-1,541844
Marco Stiepermann,-1,541844
Tom Trybull,-1,541844
Kenny McLean,-1,541844
Teemu Pukki,-1,541844
Todd Cantwell,-1,541844
Emiliano Buendía,-1,541844
Moritz Leitner,0,541844
Onel Hernández,0,541844
Josip Drmic,0,541844
Ederson,-1,541843
Aymeric Laporte,-1,541843
John Stones,-1,541843
Oleksandr Zinchenko,-1,541843
Kyle Walker,-1,541843
Rodri,-1,541843
David Silva,-1,541843
Kevin De Bruyne,-1,541843
Gabriel Jesus,-1,541843
Raheem Sterling,-1,541843
Riyad Mahrez,-1,541843
Phil Foden,0,541843
Ilkay Gündogan,0,541843
Sergio Agüero,0,541843
Dean Henderson,-1,541840
John Egan,-1,541840
Jack O'Connell,-1,541840
Chris Basham,-1,541840
John Fleck,-1,541840
John Lundstram,-1,541840
Oliver Norwood,-1,541840
Enda Stevens,-1,541840
George Baldock,-1,541840
David McGoldrick,-1,541840
Callum Robinson,-1,541840
Billy Sharp,0,541840
Luke Freeman,0,541840
Oliver McBurnie,0,541840
Angus Gunn,-1,541841
Jack Stephens,-1,541841
Jannik Vestergaard,-1,541841
Jan Bednarek,-1,541841
James Ward-Prowse,-1,541841
Oriol Romeu,-1,541841
Ryan Bertrand,-1,541841
Yan Valery,-1,541841
Che Adams,-1,541841
Nathan Redmond,-1,541841
Danny Ings,-1,541841
Pierre-Emile Højbjerg,0,541841
Sofiane Boufal,0,541841
Michael Obafemi,0,541841
Jordan Pickford,-1,541839
Yerry Mina,-1,541839
Michael Keane,-1,541839
Lucas Digne,-1,541839
Seamus Coleman,-1,541839
Gylfi Sigurdsson,-1,541839
André Gomes,-1,541839
Morgan Schneiderlin,-1,541839
Dominic Calvert-Lewin,-1,541839
Bernard,-1,541839
Richarlison,-1,541839
Tom Davies,0,541839
Jean-Philippe Gbamin,0,541839
Moise Kean,0,541839
Mathew Ryan,-1,541838
Lewis Dunk,-1,541838
Dan Burn,-1,541838
Shane Duffy,-1,541838
Dale Stephens,-1,541838
Davy Pröpper,-1,541838
Solly March,-1,541838
Martín Montoya,-1,541838
Glenn Murray,-1,541838
Jürgen Locadia,-1,541838
Pascal Gross,-1,541838
Bernardo,0,541838
Neal Maupay,0,541838
Florin Andone,0,541838
Tom Heaton,-1,541837
Tyrone Mings,-1,541837
Björn Engels,-1,541837
Conor Hourihane,-1,541837
Neil Taylor,-1,541837
Ahmed El Mohamady,-1,541837
