PlayerNames,AttRPM,DefRPM,RPM,Matches,MinutesPlayed,Pos,Team,Age
`Ørjan Nyland`,-0.895450266,0.028876315,-0.866573951,7,539,GK,Aston Villa,28
`Oleksandr Zinchenko`,0.32325266,0.400179992,0.723432652,19,1276,DF,Manchester City,22
`Harvey Barnes`,0.128912542,0.446797807,0.575710349,36,2083,MFFW,Leicester City,21
`Gabriel Jesus`,0.362848586,0.501831776,0.864680362,34,2030,FW,Manchester City,22
`Joe Gomez`,0.362505502,0.347759647,0.710265149,28,2004,DF,Liverpool,22
`Aaron Lennon`,-0.089065184,-0.453189414,-0.542254598,16,496,MF,Burnley,32
`Kevin De Bruyne`,0.365882806,0.317067158,0.682949964,35,2791,MF,Manchester City,28
Alisson,0.233215754,0.321796922,0.555012676,29,2543,GK,Liverpool,26
`Marcos Alonso`,0.256376439,0.332555562,0.588932001,18,1430,DF,Chelsea,28
`Jordan Henderson`,0.270815593,0.378581476,0.649397069,30,2238,MF,Liverpool,29
`Adam Idah`,-0.311658195,0.166293905,-0.14536429,12,228,FWMF,Norwich City,18
`Adam Lallana`,0.060788891,-0.186611371,-0.125822481,15,382,MFFW,Liverpool,31
`Davinson Sánchez`,0.118459952,0.32942399,0.447883943,29,2431,DF,Tottenham,23
`Nicolás Otamendi`,-0.03098201,0.29528563,0.264303619,24,1715,DF,Manchester City,31
`Benjamin Mendy`,0.026800496,0.231476203,0.2582767,19,1492,DF,Manchester City,25
`David Silva`,0.220700311,0.388253234,0.608953545,27,1826,MF,Manchester City,33
`Kyle Walker`,0.241974703,0.224492041,0.466466743,29,2392,DF,Manchester City,29
`Ahmed El Mohamady`,-0.242473493,-0.652275571,-0.894749063,18,1031,DF,Aston Villa,31
`Andy Robertson`,0.209620743,0.218787267,0.42840801,36,3111,DF,Liverpool,25
`Albian Ajeti`,1.580697095,0.051845119,1.632542214,9,139,MFFW,West Ham,22
`Riyad Mahrez`,0.171047255,0.398560443,0.569607698,33,1944,FW,Manchester City,28
Ederson,0.160694903,0.240823846,0.401518749,35,3071,GK,Manchester City,25
`Sergio Agüero`,0.230640755,0.309621182,0.540261937,24,1452,FW,Manchester City,31
`Dele Alli`,0.067448571,0.285413505,0.352862076,25,1847,MFFW,Tottenham,23
`Georginio Wijnaldum`,0.20254245,0.324573552,0.527116002,37,2935,MF,Liverpool,28
`Alexis Mac Allister`,0.167563059,-0.063197349,0.104365711,9,352,MFFW,Brighton,20
`Alireza Jahanbakhsh`,-0.212292817,0.351104404,0.138811587,10,311,FWMF,Brighton,25
`Paul Pogba`,0.244092749,0.220231778,0.464324528,16,1204,MF,Manchester Utd,26
`Roberto Firmino`,0.177671817,0.2632141,0.440885917,38,2988,FW,Liverpool,27
`Andre Gray`,-0.179809918,0.035378124,-0.144431794,23,755,FW,Watford,28
`Virgil van Dijk`,0.147869259,0.186015173,0.333884432,38,3420,DF,Liverpool,28
`Bernardo Silva`,0.453022553,-0.013408556,0.439613997,34,2030,FWMF,Manchester City,24
`Andrew Surman`,-0.826987479,-0.686312355,-1.513299833,5,235,MF,Bournemouth,32
`Andriy Yarmolenko`,0.30662546,-0.082350001,0.224275459,23,991,MFFW,West Ham,29
`Mason Greenwood`,0.226853267,0.190475545,0.417328812,31,1320,FW,Manchester Utd,17
`Andy Carroll`,0.498000459,0.01464992,0.512650379,19,632,FW,Newcastle Utd,30
`Antonio Rüdiger`,0.287265729,0.171637863,0.458903592,20,1710,DF,Chelsea,26
`Angel Gomes`,-0.794176728,-1.945144748,-2.739321476,2,21,MF,Manchester Utd,18
`Mason Holgate`,0.00611291,0.165646924,0.171759834,27,2054,DF,Everton,22
`Angus Gunn`,0.152168365,-0.266118636,-0.113950271,10,900,GK,Southampton,23
`Anthony Gordon`,-0.157405768,-0.104845274,-0.262251042,11,440,MFFW,Everton,18
`Mohamed Salah`,0.137590228,0.169425777,0.307016005,34,2876,FW,Liverpool,27
`Tyrone Mings`,-0.227527736,0.1568256,-0.070702136,33,2902,DF,Aston Villa,26
`Anthony Martial`,0.203478225,0.096700451,0.300178676,32,2624,FW,Manchester Utd,23
`Armando Broja`,-1.159945808,0.826018764,-0.333927044,1,5,FW,Chelsea,17
`Arnaut Danjuma`,-0.084343342,-0.138060931,-0.222404273,14,630,MF,Bournemouth,22
`Arthur Masuaku`,-0.104534904,-0.1993997,-0.303934604,17,937,DF,West Ham,25
`Sadio Mané`,-0.009400601,0.307540788,0.298140186,35,2747,FW,Liverpool,27
`Raheem Sterling`,0.168087805,0.106832392,0.274920197,33,2651,FW,Manchester City,24
`Ashley Young`,0.077917382,0.066331662,0.144249044,12,955,DF,Manchester Utd,34
`Axel Tuanzebe`,-0.184775227,-0.215531292,-0.400306519,5,189,DF,Manchester Utd,21
`Aymeric Laporte`,0.361722349,-0.007244073,0.354478276,15,1097,DF,Manchester City,25
`James Maddison`,0.128431379,0.143351393,0.271782772,31,2624,MF,Leicester City,22
