A,Starter,gameid
Alisson,1,541844
Virgil van Dijk,1,541844
Joe Gomez,1,541844
Andy Robertson,1,541844
Trent Alexander-Arnold,1,541844
Fabinho,1,541844
Georginio Wijnaldum,1,541844
Jordan Henderson,1,541844
Roberto Firmino,1,541844
Divock Origi,1,541844
Mohamed Salah,1,541844
Adrián,0,541844
James Milner,0,541844
Sadio Mané,0,541844
Lukasz Fabianski,1,541843
Issa Diop,1,541843
Fabián Balbuena,1,541843
Aaron Cresswell,1,541843
Ryan Fredericks,1,541843
Manuel Lanzini,1,541843
Declan Rice,1,541843
Jack Wilshere,1,541843
Sébastian Haller,1,541843
Michail Antonio,1,541843
Felipe Anderson,1,541843
Robert Snodgrass,0,541843
Pablo Fornals,0,541843
Javier Hernández,0,541843
Aaron Ramsdale,1,541840
Steve Cook,1,541840
Nathan Aké,1,541840
Chris Mepham,1,541840
Jefferson Lerma,1,541840
Philip Billing,1,541840
Diego Rico,1,541840
Adam Smith,1,541840
Callum Wilson,1,541840
Ryan Fraser,1,541840
Joshua King,1,541840
Dominic Solanke,0,541840
Nick Pope,1,541841
Ben Mee,1,541841
James Tarkowski,1,541841
Erik Pieters,1,541841
Matthew Lowton,1,541841
Ashley Westwood,1,541841
Jack Cork,1,541841
Dwight McNeil,1,541841
Jóhann Gudmundsson,1,541841
Ashley Barnes,1,541841
Chris Wood,1,541841
Aaron Lennon,0,541841
Jay Rodriguez,0,541841
Vicente Guaita,1,541839
Scott Dann,1,541839
Martin Kelly,1,541839
Patrick van Aanholt,1,541839
Joel Ward,1,541839
Luka Milivojevic,1,541839
James McArthur,1,541839
Max Meyer,1,541839
Andros Townsend,1,541839
Jordan Ayew,1,541839
Christian Benteke,1,541839
Wilfried Zaha,0,541839
Connor Wickham,0,541839
Ben Foster,1,541838
Craig Cathcart,1,541838
Craig Dawson,1,541838
José Holebas,1,541838
Kiko,1,541838
Étienne Capoue,1,541838
Abdoulaye Doucouré,1,541838
Troy Deeney,1,541838
Andre Gray,1,541838
Gerard Deulofeu,1,541838
Will Hughes,1,541838
Issac Success,0,541838
Roberto Pereyra,0,541838
Hugo Lloris,1,541837
Davinson Sánchez,1,541837
Toby Alderweireld,1,541837
Danny Rose,1,541837
Kyle Walker-Peters,1,541837
Harry Kane,1,541837
Harry Winks,1,541837
Erik Lamela,1,541837
Moussa Sissoko,1,541837
Tanguy Ndombele,1,541837
Lucas Moura,1,541837
Christian Eriksen,0,541837
Georges-Kévin Nkoudou,0,541837
Oliver Skipp,0,541837
Kasper Schmeichel,1,541842
Çaglar Söyüncü,1,541842
Jonny Evans,1,541842
Wilfred Ndidi,1,541842
Ben Chilwell,1,541842
Ricardo Pereira,1,541842
Hamza Choudhury,1,541842
Youri Tielemans,1,541842
James Maddison,1,541842
Ayoze Pérez,1,541842
Jamie Vardy,1,541842
Harvey Barnes,0,541842
Marc Albrighton,0,541842
Martin Dubravka,1,541836
Jamaal Lascelles,1,541836
Paul Dummett,1,541836
Fabian Schär,1,541836
Sean Longstaff,1,541836
Isaac Hayden,1,541836
Jonjo Shelvey,1,541836
Matt Ritchie,1,541836
Javier Manquillo,1,541836
Joelinton,1,541836
Miguel Almirón,1,541836
Allan Saint-Maximin,0,541836
Jetro Willems,0,541836
David de Gea,1,541835
Harry Maguire,1,541835
Victor Lindelöf,1,541835
Luke Shaw,1,541835
Aaron Wan-Bissaka,1,541835
Andreas Pereira,1,541835
Scott McTominay,1,541835
Paul Pogba,1,541835
Anthony Martial,1,541835
Marcus Rashford,1,541835
Jesse Lingard,1,541835
Daniel James,0,541835
Mason Greenwood,0,541835
Juan Mata,0,541835
Bernd Leno,1,541826
David Luiz,1,541826
Sokratis Papastathopoulos,1,541826
Nacho Monreal,1,541826
Ainsley Maitland-Niles,1,541826
Dani Ceballos,1,541826
Matteo Guendouzi,1,541826
Joseph Willock,1,541826
Alexandre Lacazette,1,541826
Reiss Nelson,1,541826
Pierre-Emerick Aubameyang,1,541826
Lucas Torreira,0,541826
Sead Kolasinac,0,541826
Nicolas Pépé,0,541826
Tom Heaton,1,541825
Tyrone Mings,1,541825
Björn Engels,1,541825
Neil Taylor,1,541825
Ahmed El Mohamady,1,541825
Douglas Luiz,1,541825
Jack Grealish,1,541825
John McGinn,1,541825
Wesley,1,541825
Anwar El-Ghazi,1,541825
Trézéguet,1,541825
Jota,0,541825
Keinan Davis,0,541825
Mathew Ryan,1,541834
Lewis Dunk,1,541834
Dan Burn,1,541834
Shane Duffy,1,541834
Dale Stephens,1,541834
Davy Pröpper,1,541834
Solly March,1,541834
Martín Montoya,1,541834
Glenn Murray,1,541834
Leandro Trossard,1,541834
